,FI,FI_EJ,AN,CLIN_STAFF,ADMIN,NURSES,NONCLI,OTHERCLI,INPATIENT
3414,130781867,130000813,2016,50.830000000000005,11.89,39.41,,22.99,10650.0
3415,130782071,130002454,2016,47.96,33.02,59.02,21.35,64.8,20331.0
3416,130782147,130000979,2016,105.33,36.5,92.33,14.32,41.02,79374.0
3417,130782162,130000987,2016,46.35,24.84,40.51,10.49,17.99,8544.0
3418,130783236,130786049,2016,388.67,262.96,940.91,550.96,710.9000000000001,353908.0
3419,130783293,130786049,2016,796.99,517.17,1448.64,1176.64,1235.44,577939.0
3420,130783327,130001415,2016,103.25,51.23,106.31,29.4,130.39,42680.0
3421,130783665,130043722,2016,29.46,22.5,44.95,17.0,36.5,7057.0
3422,130783723,130001456,2016,75.55,30.75,67.51,11.39,40.0,17800.0
3423,130784051,130037823,2016,147.46,67.3,255.3,29.28,220.02,31936.0
3424,130784234,130786049,2016,215.67,138.11,365.04,239.32,354.27000000000004,152609.0
3425,130784713,130038847,2016,146.65,83.85,197.32,68.11,216.56,36722.0
3426,130784903,130002041,2016,31.96,15.18,21.36,6.109999999999999,23.63,4799.0
3427,130785389,130002173,2016,68.18,26.64,46.53,6.46,34.29,10300.0
3428,130785652,130014228,2016,299.91,319.82,571.61,250.77,737.08,581888.0
3429,130785678,130002249,2016,87.39999999999999,39.02,112.91,29.18,93.52,10094.0
3430,130786361,130002447,2016,75.34,52.63,138.2,23.99,124.74,34548.0
3431,130786445,130002488,2016,26.72,15.4,33.05,7.5,78.1,11277.0
3432,130786742,750821092,2016,123.17,155.6,242.02,129.43,230.4,138530.0
3434,130804297,130786049,2016,174.95999999999998,101.83,350.53,158.19,289.93,170761.0
3435,130809015,130001928,2016,31.73,53.68,76.65,78.99,194.0,3725.0
3436,130810740,130007362,2016,97.14,54.91,98.69,16.09,67.53,22462.0
3437,140000027,140000035,2016,141.29999999999998,120.35,325.65000000000003,209.1,390.94,185776.0
3438,140000209,140000100,2016,760.55,559.44,1376.24,787.72,1526.51,946687.0
3439,140000233,140000118,2016,53.52,66.8,153.57000000000002,94.9,168.70000000000002,111426.0
3440,140000290,140000449,2016,25.32,10.34,36.69,10.77,38.64,6711.0
3441,140000373,140000159,2016,38.14,53.68,150.06,68.56,155.42000000000002,23725.0
3443,140002452,140025800,2016,28.91,50.46,74.71,26.28,63.47,41279.0
3444,140004383,140000100,2016,45.150000000000006,70.19,35.02,199.88,55.09,4680.0
3445,140016759,140003146,2016,98.41,37.46,126.24,27.8,183.24,46427.0
3446,140017237,140003278,2016,106.57,64.33,274.70000000000005,36.99,161.51999999999998,74112.0
3447,140018730,140000423,2016,30.14,9.2,24.0,9.4,28.83,7005.0
3448,140024886,140000092,2016,94.94,96.24,198.19000000000003,166.2,218.93,78540.0
3449,140026410,140026279,2016,35.17,46.07,103.76,61.07,129.59,31530.0
3450,140026709,140000415,2016,27.2,14.37,39.56,4.9,31.35,5774.0
3451,150000032,150780088,2016,33.900000000000006,52.42,112.31,58.85,171.44,55601.0
3452,150000040,150780096,2016,148.86,161.63,501.89,273.86,542.67,169077.0
3453,150000164,150780468,2016,9.82,15.89,34.39,23.130000000000003,73.37,12096.0
3455,150780732,150000271,2016,51.54,52.94,121.93,18.8,142.13,27981.0
3456,160000170,160000204,2016,42.98,20.1,48.31,4.0,47.25,9701.0
3457,160000253,160000451,2016,205.01,229.45,543.28,352.77,587.63,293808.0
3458,160000279,160000212,2016,19.13,14.32,33.28,11.33,35.08,13293.0
3459,160000303,160006037,2016,27.41,43.78,94.58,71.23,190.2,29805.0
3461,160013207,160001632,2016,92.42,43.3,108.41,39.34,85.96000000000001,24550.0
3462,160015368,160014411,2016,52.16,50.53,116.93,71.27,140.32999999999998,69753.0
3463,170000038,170780050,2016,44.45,68.14,119.17,83.08,158.36,150592.0
3464,170000087,170024194,2016,302.28,347.82,696.0,435.58,779.09,270582.0
3465,170000095,170780167,2016,40.91,61.47,118.02,64.47,199.69,62855.0
3466,170000103,170780175,2016,168.99,185.59,496.86,401.14,401.37,218475.0
3467,170000129,170780191,2016,47.17,69.0,144.03,89.56,178.52,35264.0
3468,170000152,170780225,2016,105.5,118.32,289.97,137.46,434.1,189124.0
3469,170780563,170000251,2016,47.58,14.98,96.45,9.0,61.1,12160.0
3470,170780613,170000277,2016,55.16,23.37,58.01,5.0,61.82,9348.0
3471,170780621,170000285,2016,31.19,23.25,51.92,19.8,52.68,6289.0
3473,170780662,170024053,2016,65.96,20.0,63.05,3.78,58.89,20738.0
3474,180000010,180000028,2016,169.68,174.29,539.22,277.58,561.82,361716.0
3475,180000200,180000051,2016,45.53,60.07,127.3,92.99,203.92,74784.0
3476,180000283,180000069,2016,28.5,47.42,61.34,95.58,120.71,36520.0
3478,180004145,180000887,2016,61.9,27.8,114.3,16.2,127.7,19011.0
3479,190000018,190000042,2016,157.15,211.57,464.75,285.99,552.0899999999999,221739.0
3480,190000026,190000059,2016,100.54,105.8,280.13,162.98000000000002,285.71,112853.0
3482,190000224,190000901,2016,78.33000000000001,38.62,105.37,11.23,79.1,24334.0
3483,190000257,190001131,2016,33.36,24.58,43.97,5.04,58.64,7935.0
3484,210011847,210011839,2016,64.93,26.92,59.75,17.71,57.17,17535.0
3487,210780789,210003208,2016,67.14,30.1,127.6,14.0,106.3,30959.0
3489,210986089,210780581,2016,24.66,17.45,62.73,21.36,99.85,4172.0
3490,210987558,210780581,2016,955.08,584.7,1555.87,1186.94,1379.09,708560.0
3491,210987657,210012175,2016,78.57000000000001,84.52,209.46,108.19,341.4,90683.0
3492,210987665,210012142,2016,15.5,30.19,51.37,59.27,67.33,9949.0
3493,210987673,210012142,2016,18.8,22.31,59.79,45.45,69.68,5337.0
3494,210987699,210780706,2016,63.17,78.03,179.80999999999997,96.33,182.96,101690.0
3495,210987731,210780417,2016,91.96,126.32,146.85,205.7,77.94,157318.0
3496,220000012,220000020,2016,318.35,340.87,745.2399999999999,466.18,837.0,402702.0
